,course_code,course_title,keywords
0,BCHY101L,Engineering Chemistry,"['engineering chemistry', 'chemistry', 'engineering']"
1,BCHY101P,Engineering Chemistry Lab,"['engineering chemistry lab', 'chemistry lab', 'engineering chemistry', 'chemistry', 'lab', 'engineering']"
2,BMAT101L,Calculus,['calculus']
3,BMAT101P,Calculus Lab,"['calculus lab', 'calculus', 'lab']"
4,BMAT102L,Differential Equations and Transforms,"['differential equations transforms', 'equations transforms', 'differential equations', 'transforms', 'differential', 'equations']"
5,BMAT201L,Complex Variables and Linear Algebra,"['complex variables linear', 'complex variables', 'variables linear algebra', 'linear algebra', 'variables linear', 'complex', 'algebra', 'variables', 'linear']"
6,BMAT202L,Probability and Statistics,"['probability statistics', 'probability', 'statistics']"
7,BMAT202P,Probability and Statistics Lab,"['probability statistics lab', 'probability statistics', 'statistics lab', 'probability', 'statistics', 'lab']"
8,BPHY101L,Engineering Physics,"['engineering physics', 'engineering', 'physics']"
9,BPHY101P,Engineering Physics Lab,"['engineering physics lab', 'physics lab', 'engineering physics', 'engineering', 'physics', 'lab']"
10,BCSE101E,Computer Programming : Python,"['computer programming python', 'programming python', 'python', 'computer programming', 'programming', 'computer']"
11,BCSE102L,Structured and Object - Oriented Programming,"['structured object oriented', 'object oriented programming', 'oriented programming', 'object oriented', 'structured object', 'programming', 'structured', 'object', 'oriented']"
12,BCSE102P,Structured and Object - Oriented Programming Lab,"['oriented programming lab', 'structured object oriented', 'object oriented programming', 'oriented programming', 'programming lab', 'object oriented', 'structured object', 'programming', 'structured', 'lab']"
13,BCSE103E,Computer Programming : Java,"['computer programming java', 'programming java', 'java', 'computer programming', 'programming', 'computer']"
14,BEEE102L,Basic Electrical and Electronics Engineering,"['electrical electronics engineering', 'electronics engineering', 'basic electrical electronics', 'electrical electronics', 'basic electrical', 'electrical', 'electronics', 'engineering', 'basic']"
15,BEEE102P,Basic Electrical and Electronics Engineering Lab,"['electronics engineering lab', 'basic electrical electronics', 'electrical electronics engineering', 'electronics engineering', 'basic electrical', 'electrical electronics', 'engineering lab', 'electronics', 'electrical', 'engineering']"
16,BENG101L,Technical English Communication,"['technical english communication', 'technical english', 'english communication', 'communication', 'technical', 'english']"
17,BENG101N,Effective English Communication,"['effective english communication', 'effective english', 'english communication', 'communication', 'english', 'effective']"
18,BENG101P,Technical English Communication Lab,"['english communication lab', 'technical english communication', 'communication lab', 'technical english', 'english communication', 'english', 'lab', 'communication', 'technical']"
19,BENG102P,Technical Report Writing,"['technical report writing', 'report writing', 'technical report', 'technical', 'report', 'writing']"
20,BFLE200L,Foreign Language,"['foreign language', 'language', 'foreign']"
21,BHSM200L,HSM Elective,"['hsm elective', 'hsm', 'elective']"
22,BSTS101P,Quantitative Skills Practice I,"['quantitative skills practice', 'quantitative skills', 'quantitative', 'skills practice', 'skills', 'practice']"
23,BSTS102P,Quantitative Skills Practice II,"['quantitative skills practice', 'quantitative skills', 'skills practice ii', 'skills practice', 'quantitative', 'practice ii', 'skills', 'practice', 'ii']"
24,BSTS201P,Qualitative Skills Practice I,"['qualitative skills practice', 'qualitative skills', 'skills practice', 'skills', 'qualitative', 'practice']"
25,BSTS202P,Qualitative Skills Practice II,"['qualitative skills practice', 'qualitative skills', 'skills practice ii', 'skills practice', 'practice ii', 'skills', 'qualitative', 'practice', 'ii']"
26,BECE201L,Electronic Materials and devices,"['electronic materials devices', 'electronic materials', 'materials devices', 'materials', 'electronic', 'devices']"
27,BECE203L,Circuit Theory,"['circuit theory', 'circuit', 'theory']"
28,BMAT205L,Discrete Mathematics and Graph Theory,"['graph theory', 'mathematics graph theory', 'discrete mathematics graph', 'discrete mathematics', 'mathematics graph', 'graph', 'discrete', 'mathematics', 'theory']"
29,BCSE202L,Data Structures and Algorithms,"['data structures algorithms', 'data structures', 'structures algorithms', 'algorithms', 'structures', 'data']"
30,BCSE202P,Data Structures and Algorithms Lab,"['structures algorithms lab', 'data structures algorithms', 'algorithms lab', 'data structures', 'structures algorithms', 'algorithms', 'structures', 'data', 'lab']"
31,BCSE204L,Design and Analysis of Algorithms,"['analysis algorithms', 'design analysis algorithms', 'algorithms', 'design analysis', 'analysis', 'design']"
32,BCSE204P,Design and Analysis of Algorithms Lab,"['analysis algorithms lab', 'algorithms lab', 'analysis algorithms', 'algorithms', 'design analysis algorithms', 'design analysis', 'analysis', 'design', 'lab']"
33,BCSE205L,Computer Architecture and Organization,"['computer architecture organization', 'computer architecture', 'architecture organization', 'architecture', 'organization', 'computer']"
34,BCSE302L,Database Systems,"['database systems', 'database', 'systems']"
35,BCSE302P,Database Systems Lab,"['database systems lab', 'database systems', 'systems lab', 'database', 'lab', 'systems']"
36,BCSE303L,Operating Systems,"['operating systems', 'systems', 'operating']"
37,BCSE303P,Operating Systems Lab,"['operating systems lab', 'systems lab', 'operating systems', 'lab', 'operating', 'systems']"
38,BCSE304L,Theory of Computation,"['computation', 'theory computation', 'theory']"
39,BCSE307L,Compiler Design,"['compiler design', 'compiler', 'design']"
40,BCSE308L,Computer Networks,"['computer networks', 'networks', 'computer']"
41,BCSE308P,Computer Networks Lab,"['computer networks lab', 'networks lab', 'computer networks', 'networks', 'lab', 'computer']"
42,BECE102L,Digital Systems Design,"['digital systems design', 'digital systems', 'systems design', 'digital', 'systems', 'design']"
43,BECE102P,Digital Systems Design Lab,"['systems design lab', 'digital systems design', 'digital systems', 'design lab', 'systems design', 'systems', 'design', 'digital', 'lab']"
44,BECE204L,Microprocessors and Microcontrollers,"['microprocessors microcontrollers', 'microcontrollers', 'microprocessors']"
45,BECE204P,Microprocessors and Microcontrollers Lab,"['microprocessors microcontrollers lab', 'microcontrollers lab', 'microcontrollers', 'microprocessors microcontrollers', 'microprocessors', 'lab']"
46,BECE206L,Analog Circuits,"['analog circuits', 'circuits', 'analog']"
47,BECE206P,Analog Circuits Lab,"['analog circuits lab', 'analog circuits', 'circuits lab', 'circuits', 'analog', 'lab']"
48,BECE303L,VLSI System Design,"['vlsi design', 'vlsi', 'design']"
49,BECE303P,VLSI System Design Lab,"['vlsi design lab', 'vlsi design', 'vlsi', 'design lab', 'lab', 'design']"
50,BECM301L,Signal Processing,"['signal processing', 'processing', 'signal']"
51,BECM301P,Signal Processing Lab,"['signal processing lab', 'signal processing', 'processing lab', 'lab', 'signal', 'processing']"
52,BECM304L,Principles of Communication Systems,"['principles communication systems', 'communication systems', 'principles communication', 'communication', 'systems', 'principles']"
53,BCSE208L,Data Mining,"['data mining', 'mining', 'data']"
54,BCSE208P,Data Mining Lab,"['data mining lab', 'data mining', 'mining lab', 'lab', 'data', 'mining']"
55,BCSE301L,Software Engineering,"['software engineering', 'software', 'engineering']"
56,BCSE324L,Foundations of Blockchain Technology,"['foundations blockchain technology', 'foundations blockchain', 'blockchain technology', 'blockchain', 'foundations', 'technology']"
57,BCSE332L,Deep Learning,"['deep learning', 'learning', 'deep']"
58,BCSE332P,Deep Learning Lab,"['deep learning lab', 'learning lab', 'deep learning', 'lab', 'learning', 'deep']"
59,BCSE401L,Internet of Things,"['internet things', 'internet', 'things']"
60,BCSE402L,Big Data Analytics,"['big data analytics', 'data analytics', 'big data', 'analytics', 'data', 'big']"
61,BCSE404L,Internet and Web Programming,"['internet web programming', 'web programming', 'internet web', 'programming', 'web', 'internet']"
62,BCSE407L,Computer vision,"['computer vision', 'vision', 'computer']"
63,BCSE408L,Cloud Computing,"['cloud computing', 'cloud', 'computing']"
64,BCSE409L,Natural Language Processing,"['natural language processing', 'language processing', 'natural language', 'processing', 'language', 'natural']"
65,BCSE414L,High Performance Computing,"['high performance computing', 'performance computing', 'high performance', 'computing', 'performance', 'high']"
66,BCSE420L,"Sensors , Actuators and Signal Conditioning","['actuators signal conditioning', 'sensors actuators signal', 'sensors actuators', 'actuators signal', 'sensors', 'signal conditioning', 'actuators', 'signal', 'conditioning']"
67,BCSE420P,"Sensors , Actuators and Signal Conditioning Lab","['sensors actuators signal', 'sensors actuators', 'actuators signal conditioning', 'actuators signal', 'signal conditioning lab', 'sensors', 'conditioning lab', 'actuators', 'signal conditioning', 'signal']"
68,BCSE428L,Autonomous Drones,"['autonomous drones', 'drones', 'autonomous']"
69,BCSE428P,Autonomous Drones Lab,"['autonomous drones lab', 'drones lab', 'autonomous drones', 'drones', 'autonomous', 'lab']"
70,BCSE429L,Cyber Physical Systems Design,"['cyber physical systems', 'physical systems design', 'cyber physical', 'systems design', 'physical systems', 'cyber', 'systems', 'design', 'physical']"
71,BCSE429P,Cyber Physical System Design Lab,"['cyber physical design', 'physical design lab', 'cyber physical', 'design lab', 'physical design', 'cyber', 'design', 'lab', 'physical']"
72,BECE302L,Control Systems,"['control systems', 'systems', 'control']"
73,BECE309L,Artificial Intelligence and Machine Learning,"['machine learning', 'intelligence machine learning', 'artificial intelligence', 'intelligence machine', 'artificial intelligence machine', 'intelligence', 'learning', 'machine', 'artificial']"
74,BECE312L,Robotics and Automation,"['robotics automation', 'robotics', 'automation']"
75,BECE403E,Embedded Systems Design,"['embedded systems design', 'embedded systems', 'systems design', 'systems', 'design', 'embedded']"
76,BECE406E,FPGA Based System Design,"['fpga based design', 'fpga based', 'fpga', 'based design', 'design', 'based']"
77,BECE407E,ASIC Design,"['asic design', 'asic', 'design']"
78,BECE411L,Cryptography and Network Security,"['cryptography network security', 'cryptography network', 'cryptography', 'network security', 'security', 'network']"
79,BECM302E,Augmented and Virtual Reality,"['augmented virtual reality', 'augmented virtual', 'virtual reality', 'augmented', 'virtual', 'reality']"
80,BECM303L,Wireless Communication Networks,"['wireless communication networks', 'wireless communication', 'communication networks', 'wireless', 'networks', 'communication']"
81,BECM391J,Technical Answers to Real Problems Project,"['real problems project', 'problems project', 'technical answers real', 'technical answers', 'answers real problems', 'project', 'technical', 'real problems', 'answers real', 'problems']"
82,BECM392J,Design Project,"['design project', 'design', 'project']"
83,BECM393J,Laboratory Project,"['laboratory project', 'laboratory', 'project']"
84,BECM394J,Product Development Project,"['product development project', 'product development', 'development project', 'project', 'product', 'development']"
85,BECM395J,Computer Project,"['computer project', 'project', 'computer']"
86,BECM396J,Reading Course,"['reading course', 'reading', 'course']"
87,BECM397J,Special Project,"['special project', 'project', 'special']"
88,BECM398J,Stimulation Project,"['stimulation project', 'stimulation', 'project']"
89,BECM399J,Summer Industrial Internship,"['summer industrial internship', 'industrial internship', 'internship', 'summer industrial', 'industrial', 'summer']"
90,BECM497J,Project - I,['project']
91,BECM498J,Project - II / Internship,"['project ii internship', 'ii internship', 'internship', 'project ii', 'project', 'ii']"
92,BECM499J,One Semester Internship,"['semester internship', 'internship', 'semester']"
93,BCHY102N,Environmental Sciences,"['environmental sciences', 'environmental', 'sciences']"
94,BECM101N,Introduction to Engineering,"['introduction engineering', 'engineering', 'introduction']"
95,BEXC100N,Extra curricular activities,"['extra curricular activities', 'extra curricular', 'curricular activities', 'curricular', 'activities', 'extra']"
96,BHUM101N,Ethics and Values,"['ethics values', 'ethics', 'values']"
97,BSSC101N,Essence of Traditional Knowledge,"['traditional knowledge', 'essence traditional knowledge', 'essence traditional', 'knowledge', 'traditional', 'essence']"
98,BSSC102N,Indian Constitution,"['indian constitution', 'constitution', 'indian']"
